COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,OTHER_ID_NUM_2,OTHER_ID_NUM_TYPE_2,OTHER_ID_REFERENCES_2,OTHER_ID_NUM_3,OTHER_ID_NUM_TYPE_3,OTHER_ID_REFERENCES_3,ACCN,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ORIG_ELEV_UNITS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_DATE_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_DATE_2,ATTRIBUTE_REMARKS_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DETERMINER_3,ATTRIBUTE_DATE_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
1585,ekrimmel,2017.14.1447,Herbert C. Brun-1889,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,Jul 17 1929,1929-07-17,1929-07-17,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,on window,accepted place of collection
1596,ekrimmel,2017.14.1451,Herbert C. Brun-910,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,Jun 11 1928,1928-06-11,1928-06-11,"North America, United States, Illinois, Cook County","Chicago, Caldwell Woods Forest Preserve",FROM SPECIMEN: Caldwell Reserve,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1580,ekrimmel,2017.14.1445,Herbert C. Brun-22,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,Jun 20 1927,1927-06-20,1927-06-20,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
2387,ekrimmel,2017.14.1452,Herbert C. Brun-1060,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,Aug 13 1928,1928-08-13,1928-08-13,"North America, United States, Illinois, Cook County","Chicago, Wolf Lake",FROM SPECIMEN: Wolf Lake,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1586,ekrimmel,2017.14.1446,Herbert C. Brun-1892,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,Jun 12 1929,1929-06-12,1929-06-12,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1587,ekrimmel,2017.14.1448,Herbert C. Brun-2012,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 06 1930,1930-05-06,1930-05-06,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1588,ekrimmel,2017.14.1449,Herbert C. Brun-2130,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 26 1930,1930-05-26,1930-05-26,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1589,ekrimmel,2017.14.1450,Herbert C. Brun-2131,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 26 1930,1930-05-26,1930-05-26,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1582,ekrimmel,2017.14.1453,Herbert C. Brun-632,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 22 1928,1928-05-22,1928-05-22,"North America, United States, Illinois, Cook County",Schiller Park,FROM SPECIMEN: Schiller Park,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1591,ekrimmel,2017.14.1455,Herbert C. Brun-646,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 22 1928,1928-05-22,1928-05-22,"North America, United States, Illinois, Cook County",Schiller Park,FROM SPECIMEN: Schiller Park,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1592,ekrimmel,2017.14.1456,Herbert C. Brun-647,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 22 1928,1928-05-22,1928-05-22,"North America, United States, Illinois, Cook County",Schiller Park,FROM SPECIMEN: Schiller Park,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1593,ekrimmel,2017.14.1457,Herbert C. Brun-649,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 22 1928,1928-05-22,1928-05-22,"North America, United States, Illinois, Cook County",Schiller Park,FROM SPECIMEN: Schiller Park,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1594,ekrimmel,2017.14.1458,Herbert C. Brun-650,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 22 1928,1928-05-22,1928-05-22,"North America, United States, Illinois, Cook County",Schiller Park,FROM SPECIMEN: Schiller Park,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1595,ekrimmel,2017.14.1459,Herbert C. Brun-654,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Empididae,legacy,unknown,,Fly.,May 22 1928,1928-05-22,1928-05-22,"North America, United States, Illinois, Cook County",Schiller Park,FROM SPECIMEN: Schiller Park,Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1717,ekrimmel,2017.14.1643,Herbert C. Brun-82,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Phoridae,legacy,L. Melander,,Fly.,Sep 10 1926,1926-09-10,1926-09-10,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1705,ekrimmel,2017.14.1649,Herbert C. Brun-10,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Phoridae,legacy,unknown,,Fly.,Aug 22 1927,1927-08-22,1927-08-22,"North America, United States, Illinois, Cook County",Chicago,[transcribed directly into formatted locality fields],Erica Krimmel,2017-09-26,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"INTERNAL NOTES: H. Brun: ""Nos 2 to 16 both included are Phoridae"". DATA HISTORY: Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H. Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1275,ekrimmel,13505.1,1022,original identifier,self,,,,,,,[CHAS:Mamm]1100,Allograpta obliqua,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill. [Northern Illinois],Robin Delapena,2009-10-01,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-10-01). Results from Original Catalog Book matching during Arctos migration: Matched to catalog book specimen [Erica Krimmel].,whole organism (pinned),unchecked,1,in collection,Number of specimens from records: 4 (Original Catalog Book).,,,,,,verbatim collector,Andrew Bolter,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
662,ekrimmel,2017.10.777,,,,,,,,,,[CHAS:Mamm]2017.10,Fucellia fucorum,legacy,unknown,,Fly.,4/15/1894,1894-04-15,1894-04-15,"North America, United States, New Jersey, Camden County",Clementon,[transcribed directly into formatted locality fields],Nick Travanty,2011-04-13,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by N. Travanty (2011-04-13). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1017,ekrimmel,2017.10.778,,,,,,,,,,[CHAS:Mamm]2017.10,Fucellia fucorum,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,"North America, United States, New York",no specific locality recorded,[transcribed directly into formatted locality fields],Nick Travanty,2011-04-13,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by N. Travanty (2011-04-13). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
1018,ekrimmel,2017.10.779,,,,,,,,,,[CHAS:Mamm]2017.10,Hylemyia sp.,legacy,unknown,,Fly.,1-Sep,1800-09-01,2017-09-01,"North America, United States, Pennsylvania, Sullivan County",North Mountain,FROM SPECIMEN: North Mountain,Nick Travanty,2011-04-13,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by N. Travanty (2011-04-13). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
3000,ekrimmel,2017.10.973,,,,,,,,,,accession unknown,Proctacanthus philadelphicus,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,"North America, United States, Massachusetts, Nantucket County, Nantucket Island",no specific locality recorded,"FROM SPECIMEN: Nantucket Isl., Mass.",Erica Krimmel,2017-09-26,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Sam Urben (2017). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
3001,ekrimmel,2017.10.887,,,,,,,,,,accession unknown,Proctacanthus philadelphicus,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,no higher geography recorded,no specific locality recorded,[no locality recorded],Erica Krimmel,2017-09-26,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Sam Urben (2017). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
145,ekrimmel,2017.14.62,Herbert C. Brun-1969,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Asilidae,legacy,unknown,,Fly.,"July -, 29",1929-07-01,1929-07-31,"North America, Canada, Quebec, Laurentides",Newaygo,FROM SPECIMEN: Newago,Micah Saugen,2017-02-15,unverified,,,,H. S. Parish,collector,,,CHAS:Ento,"INTERNAL NOTES: Purchased from H. S. Parish. DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
165,ekrimmel,2017.10.839,10,original identifier,self,,,,,,,[CHAS:Mamm]2017.10,Asilidae,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,no higher geography recorded,no specific locality recorded,FROM SPECIMEN: Beach,Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
153,ekrimmel,2017.10.841,23,original identifier,self,,,,,,,[CHAS:Mamm]2017.10,Asilidae,legacy,unknown,,Fly.,Sep 23 1935,1935-09-23,1935-09-23,"North America, United States, Illinois",beach,FROM SPECIMEN: Beach,Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
108,ekrimmel,2017.14.49,Herbert C. Brun-1104,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Proctacanthus sp.,legacy,unknown,,Fly.,Aug 24 1928,1928-08-24,1928-08-24,"North America, United States, Indiana, Lake County",Dunes State Park,FROM SPECIMEN: Dunes Park,Micah Saugen,2017-02-15,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),Poor.,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
131,ekrimmel,2017.14.15,Herbert C. Brun-1167,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Efferia sp.,legacy,unknown,,Fly.,Sep 01 1928,1928-09-01,1928-09-01,"North America, United States, Illinois, Cook County",Willow Springs,[transcribed directly into formatted locality fields],Micah Saugen,2017-02-15,unverified,,,,Herbert C. Brun,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-23). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,H.Brun,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
124,ekrimmel,2017.14.55,Herbert C. Brun-1281,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Stichopogon trifasciatus,legacy,unknown,,Fly.,7/14/1903,1903-07-14,1903-07-14,"North America, United States, Ohio, Erie County","Sandusky, Cedar Point",FROM SPECIMEN: Cedar Point,Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by H. Arieti (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
123,ekrimmel,2017.14.54,Herbert C. Brun-1282,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Stichopogon sp.,legacy,unknown,,Fly.,Jul 28 1907,1907-07-28,1907-07-28,"North America, United States, Arizona, Cochise County",Huachuca Mountains,FROM SPECIMEN: Huachuca Mountains,Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by H. Arieti (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
41,ekrimmel,2017.14.3,Herbert C. Brun-1283,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Deromyia discolor,legacy,unknown,,Fly.,Aug 17 1908,1908-08-17,1908-08-17,"North America, United States, Pennsylvania, Delaware County",no specific locality recorded,[transcribed directly into formatted locality fields],Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by H. Arieti (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,Prey (Hymenopteran) on same pin.,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
42,ekrimmel,2017.14.2,Herbert C. Brun-1284,collector number,self,1823,original identifier,self,,,,[CHAS:Mamm]2017.14,Deromyia discolor,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,no higher geography recorded,no specific locality recorded,[no locality recorded],Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by H. Arieti (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
43,ekrimmel,2017.14.4,Herbert C. Brun-1285,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Deromyia umbrina,legacy,unknown,,Fly.,Jul 24 1910,1910-07-24,1910-07-24,"North America, United States, Ohio, Summit County",Cuyahoga Falls,"FROM SPECIMEN: Cuyahoga Falls, Ira",Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by H. Arieti (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
44,ekrimmel,2017.14.5,Herbert C. Brun-1286,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Deromyia umbrina,legacy,unknown,,Fly.,Jul 24 1910,1910-07-24,1910-07-24,"North America, United States, Ohio, Summit County",Cuyahoga Falls,"FROM SPECIMEN: Cuyahoga Falls, Ira",Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by H. Arieti (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),Poor.,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
61,ekrimmel,2017.14.35,Herbert C. Brun-1288,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Laphria thoracica,legacy,unknown,,Fly.,May 12 1923,1923-05-12,1923-05-12,"North America, United States, Ohio, Butler County",Oxford,FROM SPECIMEN: Oxford,Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,O.P.,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
107,ekrimmel,2017.14.48,Herbert C. Brun-1290,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Proctacanthus milbertii,legacy,unknown,,Fly.,Sep 09 1919,1919-09-09,1919-09-09,"North America, United States, Indiana, Spencer County",St. Minrad,FROM SPECIMEN: St. Minrad,Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-22). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),Poor.,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
134,ekrimmel,2017.14.20,Herbert C. Brun-1291,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Efferia sp.,legacy,unknown,,Fly.,[no date recorded],1800,2018-01-11,"North America, United States, Ohio, Summit County","Akron, Ira",FROM SPECIMEN: Ira,Micah Saugen,2017-02-15,unverified,,,,James S. Hine,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-23). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Jas. S. Hine,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
135,ekrimmel,2017.14.17,Herbert C. Brun-1292,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Efferia sp.,legacy,unknown,,Fly.,Jun 25 1912,1912-06-25,1912-06-25,"North America, United States, Ohio, Butler County",Oxford,[transcribed directly into formatted locality fields],Micah Saugen,2017-02-15,unverified,,,,unknown,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-23). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,,,,,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
132,ekrimmel,2017.14.8,Herbert C. Brun-1293,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Efferia sp.,legacy,unknown,,Fly.,August,1800-08-01,2017-08-31,"North America, United States, Arizona, Yuma County",Bill Williams Fork,FROM SPECIMEN: Bill Williams Fork,Micah Saugen,2017-02-15,unverified,,,,F. H. Snow,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-23). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,F.H. Snow,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
133,ekrimmel,2017.14.16,Herbert C. Brun-1294,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Efferia sp.,legacy,unknown,,Fly.,6/18/1899,1899-06-18,1899-06-18,"North America, United States, Maryland, Anne Arundel County",Bay Ridge,FROM SPECIMEN: Bay Ridge,Micah Saugen,2017-02-15,unverified,,,,James S. Hine,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-23). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Jas. S. Hine,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
136,ekrimmel,2017.14.18,Herbert C. Brun-1295,collector number,self,,,,,,,[CHAS:Mamm]2017.14,Efferia sp.,legacy,unknown,,Fly.,Sep 05 1901,1901-09-05,1901-09-05,"North America, United States, Ohio, Licking County",Newark,FROM SPECIMEN: Newark,Micah Saugen,2017-02-15,unverified,,,,R. C. Osburn,collector,,,CHAS:Ento,"DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-09-23). Results from Original Catalog Book matching during Arctos migration: FIC specimen, no catalog number to match.",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,R.C. Osburn,Erica Krimmel,2018-01-11,sex,not recorded,unknown,2018-01-11,,,,,,,accepted place of collection
