COLLECTION_OBJECT_ID,ENTEREDBY,CAT_NUM,ACCN,OTHER_ID_NUM_1,OTHER_ID_NUM_TYPE_1,OTHER_ID_REFERENCES_1,TAXON_NAME,NATURE_OF_ID,ID_MADE_BY_AGENT,MADE_DATE,IDENTIFICATION_REMARKS,VERBATIM_DATE,BEGAN_DATE,ENDED_DATE,HIGHER_GEOG,SPEC_LOCALITY,VERBATIM_LOCALITY,EVENT_ASSIGNED_BY_AGENT,EVENT_ASSIGNED_DATE,VERIFICATIONSTATUS,MINIMUM_ELEVATION,MAXIMUM_ELEVATION,ORIG_ELEV_UNITS,COLLECTOR_AGENT_1,COLLECTOR_ROLE_1,COLLECTOR_AGENT_2,COLLECTOR_ROLE_2,GUID_PREFIX,COLL_OBJECT_REMARKS,PART_NAME_1,PART_CONDITION_1,PART_LOT_COUNT_1,PART_DISPOSITION_1,PART_REMARK_1,PART_NAME_2,PART_CONDITION_2,PART_LOT_COUNT_2,PART_DISPOSITION_2,PART_REMARK_2,ATTRIBUTE_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_DATE_1,ATTRIBUTE_DETERMINER_1,ATTRIBUTE_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_DET_METH_2,ATTRIBUTE_DATE_2,ATTRIBUTE_DETERMINER_2,ATTRIBUTE_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_DATE_3,ATTRIBUTE_DET_METH_3,ATTRIBUTE_DETERMINER_3,SPECIMEN_EVENT_REMARK,SPECIMEN_EVENT_TYPE
828,ekrimmel,2030.1,[CHAS:Mamm]2030,,,,Membracidae,legacy,unknown,,,7/12-15/1904,1904-07-12,1904-07-15,"North America, United States, Iowa, Clayton County",McGregor,FROM SPECIMEN: MacGregor,Erica Krimmel,2016-07-19,unverified,,,,A. B. Wolcott,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-07-19). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-07-19).,whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,A.B. Wolcott,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
1077,ekrimmel,2030.10,[CHAS:Mamm]2030,,,,Hemiptera,legacy,unknown,,,7/12-15/1904,1904-07-12,1904-07-15,"North America, United States, Iowa, Clayton County",McGregor,FROM SPECIMEN: MacGregor,Erica Krimmel,2016-07-19,unverified,,,,A. B. Wolcott,collector,,,CHAS:Ento,DATA HISTORY: Inventory catalogued/verified by Julia Colby (2010-07-19). Record last updated in Excel (prior to Arctos migration) by Erica Krimmel (2016-07-19).,whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,A.B. Wolcott,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
1,ekrimmel,8086.1,[CHAS:Mamm]1074,,,,Lygaeus turcicus,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois,Michelle Hauer,2016-07-19,unverified,,,,Frank S. Barrett,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 8086, 8086-a,b) has been split into two separate records according to collecting location. Inventory specimen does not match original catalog book specimen (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-08). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,F.S. Barrett,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
3,ekrimmel,8086.2,[CHAS:Mamm]1074,,,,Lygaeus turcicus,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Texas",no specific locality recorded,[transcribed directly into formatted locality fields],Michelle Hauer,2016-07-19,unverified,,,,Frank S. Barrett,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 8086, 8086-a,b) has been split into two separate records according to collecting location. Inventory specimen does not match original catalog book specimen (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-08). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,2,in collection,,,,,,,verbatim collector,F.S. Barrett,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
18,ekrimmel,11217,[CHAS:Mamm]1100,,,,Penthimia {farcta},legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Texas",no specific locality recorded,FROM SPECIMEN: Tex.; FROM ORIGINAL CATALOG BOOK: Texas,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,2,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
19,ekrimmel,13620,[CHAS:Mamm]1100,,,,Scolops sulcipes,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,3,in collection,,whole organism (pinned),unchecked,2,missing,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
20,ekrimmel,13621.1,[CHAS:Mamm]1100,,,,Dascalia {recurvata},legacy,unknown,,,16-Apr,1800-04-16,2017-04-16,"North America, United States, Florida, Volusia County",Port Orange,FROM ORIGINAL CATALOG BOOK: Florida,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),Fair. One specimen missing head; other missing most of body.,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
21,ekrimmel,13621.2,[CHAS:Mamm]1100,,,,Dascalia {recurvata},legacy,unknown,,,17-Apr,1800-04-17,2017-04-17,"North America, United States, Florida, Volusia County",Port Orange,FROM ORIGINAL CATALOG BOOK: Florida,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),Fair. One specimen missing head; other missing most of body.,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
24,ekrimmel,13622.1,[CHAS:Mamm]1100,,,,Metcalfa pruinosa,legacy,unknown,,,7/3/1889,1889-07-03,1889-07-03,"North America, United States, District of Columbia, Washington",no specific locality recorded,"FROM SPECIMEN: Washington D.C; FROM ORIGINAL CATALOG BOOK: D.C., Pa., N. Ill.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13622, 13622-a,b,c) has been divided into three separate records according to collecting location. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
23,ekrimmel,13622.2,[CHAS:Mamm]1100,,,,Metcalfa pruinosa,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Pennsylvania",no specific locality recorded,"FROM SPECIMEN: Pa.; FROM ORIGINAL CATALOG BOOK: D.C., Pa., N. Ill.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13622, 13622-a,b,c) has been divided into three separate records according to collecting location. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,2,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
25,ekrimmel,13622.3,[CHAS:Mamm]1100,,,,Metcalfa pruinosa,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,"FROM SPECIMEN: Washington D.C, Pennsylvania, Northern Illinois; FROM ORIGINAL CATALOG BOOK: D.C., Pa., N. Ill.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13622, 13622-a,b,c) has been divided into three separate records according to collecting location. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,2,missing,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
26,ekrimmel,13623,[CHAS:Mamm]1100,,,,Liburnia sp.,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Massachusetts, Nantucket County, Nantucket Island",no specific locality recorded,FROM SPECIMEN: Nantucket Island [Town of Nantucket]; FROM ORIGINAL CATALOG BOOK: Mass.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
29,ekrimmel,13624.1,[CHAS:Mamm]1100,,,,Acanalonia bivittata,legacy,unknown,,,8/8/1884,1884-08-08,1884-08-08,"North America, United States, District of Columbia, Washington",no specific locality recorded,"FROM SPECIMEN: Washington D.C.; FROM ORIGINAL CATALOG BOOK: D.C., N. Ill.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13624, 13624-a,b,c) has been divided into three separate records according to collecting location and date. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),Poor. Specimen disintegrated.,1,discarded,Discarded 2017 because specimen was completely disintegrated.,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
28,ekrimmel,13624.2,[CHAS:Mamm]1100,,,,Acanalonia bivittata,legacy,unknown,,,7/11/1884,1884-07-11,1884-07-11,"North America, United States, District of Columbia, Washington",no specific locality recorded,"FROM SPECIMEN: Washington D.C.; FROM ORIGINAL CATALOG BOOK: D.C., N. Ill.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13624, 13624-a,b,c) has been divided into three separate records according to collecting location and date. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
27,ekrimmel,13624.3,[CHAS:Mamm]1100,,,,Acanalonia bivittata,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,"FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: D.C., N. Ill.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13624, 13624-a,b,c) has been divided into three separate records according to collecting location and date. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,4,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
33,ekrimmel,13625.1,[CHAS:Mamm]1100,,,,Anormenis septentrionalis,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, District of Columbia, Washington",no specific locality recorded,"FROM SPECIMEN: Washington D.C.; FROM ORIGINAL CATALOG BOOK: D.C., Tex.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
32,ekrimmel,13625.2,[CHAS:Mamm]1100,,,,Anormenis septentrionalis,legacy,unknown,,,7/10/1884,1884-07-10,1884-07-10,"North America, United States, District of Columbia, Washington",no specific locality recorded,"FROM SPECIMEN: Washington D.C.; FROM ORIGINAL CATALOG BOOK: D.C., Tex.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
31,ekrimmel,13625.3,[CHAS:Mamm]1100,,,,Anormenis septentrionalis,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Texas",no specific locality recorded,"FROM SPECIMEN: Tex.; FROM ORIGINAL CATALOG BOOK: D.C., Tex.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
36,ekrimmel,13626.1,[CHAS:Mamm]1100,,,,Helicoptera {labeculata},legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, New Mexico",no specific locality recorded,FROM SPECIMEN: N. Mex; FROM ORIGINAL CATALOG BOOK: N. Mexico,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13626, 13626-a,b) has been divided into two separate records according to collecting location. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,5,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
35,ekrimmel,13626.2,[CHAS:Mamm]1100,,,,Helicoptera {labeculata},legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, New Mexico, San Miguel County",Las Vegas,"FROM SPECIMEN: Las Vegas,N. Mex; FROM ORIGINAL CATALOG BOOK: N. Mexico",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13626, 13626-a,b) has been divided into two separate records according to collecting location. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),Poor. Specimen disintegrated.,1,discarded,Discarded 2017 because specimen was completely disintegrated.,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
38,ekrimmel,13627,[CHAS:Mamm]1100,,,,Synecdoche impunctata,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,whole organism (pinned),Poor. Specimen disintegrated.,1,discarded,Discarded 2017 because specimen was completely disintegrated.,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
39,ekrimmel,13628,[CHAS:Mamm]1100,,,,Cixius {humilis},legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
40,ekrimmel,13629,[CHAS:Mamm]1100,,,,Cixius sp.,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, New Mexico",no specific locality recorded,FROM SPECIMEN: N. Mex; FROM ORIGINAL CATALOG BOOK: N. Mex.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
41,ekrimmel,13630,[CHAS:Mamm]1100,,,,Cixius stigmatus,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,2,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
43,ekrimmel,13631.1,[CHAS:Mamm]1100,,,,Cixius nawae,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,"FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill., Cal.",Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13631, 13631-a,b) has been divided into two separate entries according to collecting location. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
42,ekrimmel,13631.2,[CHAS:Mamm]1100,,,,Cixius nawae,legacy,unknown,,,5/9/1879,1879-05-09,1879-05-09,"North America, United States, California, Mariposa County",Clark's Station [Wawona],"FROM SPECIMEN: Clark's Station; FROM ORIGINAL CATALOG BOOK: N. Ill., Cal.",Michelle Hauer,2016-07-19,unverified,4100,4100,ft,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. This record (CAS CN 13631, 13631-a,b) has been divided into two separate entries according to collecting location. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
45,ekrimmel,13632,[CHAS:Mamm]1100,,,,Oliaridia {debilis},legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
46,ekrimmel,13633,[CHAS:Mamm]1100,,,,Otiocerus kirbyi,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),unchecked,2,in collection,,whole organism (pinned),unchecked,1,missing,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
47,ekrimmel,13634,[CHAS:Mamm]1100,,,,Apache degeeri,legacy,unknown,,,[no date recorded],1800,2017-10-11,"North America, United States, Illinois",northern Illinois,FROM SPECIMEN: Northern Illinois; FROM ORIGINAL CATALOG BOOK: N. Ill.,Michelle Hauer,2016-07-19,unverified,,,,Andrew Bolter,collector,,,CHAS:Ento,"INTERNAL NOTES: Accession number assigned during Arctos migration process, 2017. Matched to original catalog book specimen and data incorporated (Erica Krimmel, 2017). DATA HISTORY: Inventory catalogued/verified by Robin Delapena (2009-09-01). Record last updated in Excel (prior to Arctos migration) by Michelle Hauer (2016-07-19).",whole organism (pinned),Fair. Specimen missing parts of body.,1,in collection,,,,,,,verbatim collector,Andrew Bolter,2017-10-11,Erica Krimmel,sex,not recorded,parsed from verbatim,2017-10-11,Erica Krimmel,,,,,,,accepted place of collection
