MEDIA_URI,PREVIEW_URI,MEDIA_LICENSE,MIME_TYPE,MEDIA_TYPE,MEDIA_RELATIONSHIP_1,MEDIA_RELATED_TERM_1,MEDIA_RELATIONSHIP_2,MEDIA_RELATED_TERM_2,MEDIA_RELATIONSHIP_3,MEDIA_RELATED_TERM_3,MEDIA_RELATIONSHIP_4,MEDIA_RELATED_TERM_4,MEDIA_RELATIONSHIP_5,MEDIA_RELATED_TERM_5,MEDIA_LABEL_1,MEDIA_LABEL_VALUE_1,MEDIA_LABEL_2,MEDIA_LABEL_VALUE_2,MEDIA_LABEL_3,MEDIA_LABEL_VALUE_3,MEDIA_LABEL_4,MEDIA_LABEL_VALUE_4
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20701-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20701-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20701,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20701-2.tif,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex haustellum longicaudus, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20701-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20701-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20701,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20701-3.tif,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex haustellum longicaudus, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20702-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20702-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20702,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20702-1.tif,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex bituberculatus, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20702-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20702-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20702,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20702-2.tif,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex bituberculatus, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20702-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20702-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20702,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20702-3.tif,subject,mollusk,made date,2017-06-16,title,"Holotype of Murex bituberculatus, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20703-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20703-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20703,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20703-1.tif,subject,mollusk,made date,2017-07-01,title,"Holotype of Ricinula (Sistrum) rugosoplicata, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20703-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20703-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20703,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20703-2.tif,subject,mollusk,made date,2017-07-01,title,"Holotype of Ricinula (Sistrum) rugosoplicata, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20703-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20703-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20703,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20703-3.tif,subject,mollusk,made date,2017-07-01,title,"Holotype of Ricinula (Sistrum) rugosoplicata, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_20704.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_20704.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:20704.1,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_20704.1-3.tif,subject,mollusk,made date,2017-07-29,title,Lectotype of Purpura problematica,subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_21038-1.tif,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, apical view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_21038-2.tif,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_21038-3.tif,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_21038-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_21038-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:21038,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_21038-4.tif,subject,mollusk,made date,2017-07-08,title,"Syntype of Polygyra multilineata algonquinensis, umbilical view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22133-1.tif,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22133-3.tif,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, dorsal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-5.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-5.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22133-5.tif,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22133-2.tif,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22133-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22133-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22133,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22133-4.tif,subject,mollusk,made date,2017-08-25,title,"Syntype of Lampsilis fimbriata, ventral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22169-1.tif,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-3.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-3.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22169-3.tif,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, frontal view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-5.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-5.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22169-5.tif,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, labels",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-2.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-2.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22169-2.tif,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22169-4.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22169-4.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22169,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22169-4.tif,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, lateral view",subject,type specimen
https://web.corral.tacc.utexas.edu/CAS/20190607/jpg/chas_inv_22241-1.jpg,https://web.corral.tacc.utexas.edu/CAS/20190607/tb/tn_chas_inv_22241-1.jpg,CC BY-NC-SA,image/jpeg,image,associated with project,10002309,associated with project,10002533,created by agent,Robin Delapena,shows cataloged_item,CHAS:Inv:22241,derived from media,https://web.corral.tacc.utexas.edu/CAS/20190607/chas_inv_22241-1.tif,subject,mollusk,made date,2017-06-23,title,"Syntype of Pachychilus vallesensis, frontal view",subject,type specimen
